Gene Family	P10T2	P10T3	P10T4	P11T1	P11T2	P11T3	P12T1	P12T4	P13T1	P13T4	P14T1	P14T4	P15T1	P15T2	P15T3	P16T1	P16T3	P16T4	P17T1	P17T2	P17T4	P18T1	P18T2	P18T3	P18T4	P19T1	P19T4	P1T1	P1T3	P1T4	P20T1	P20T2	P20T4	P21T1	P21T2	P21T4	P22T1	P22T4	P23T2	P23T3	P23T4	P24T1	P24T2	P24T3	P24T4	P25T1	P25T3	P25T4	P26T1	P26T3	P26T4	P27T1	P27T2	P27T3	P27T4	P28T2	P28T3	P28T4	P29T1	P29T2	P29T3	P29T4	P2T2	P2T3	P30T1	P30T2	P30T3	P30T4	P31T1	P31T2	P31T3	P31T4	P32T1	P32T3	P32T4	P33T1	P33T4	P34T1	P34T3	P35T1	P35T3	P36T1	P36T3	P36T4	P37T1	P37T3	P37T4	P38T1	P38T3	P39T1	P39T4	P3T1	P3T3	P3T4	P4T1	P4T3	P4T4	P5T1	P5T2	P5T3	P5T4	P6T1	P6T3	P6T4	P7T1	P7T3	P7T4	P8T1	P8T2	P8T3	P9T1	P9T2	P9T3	P9T4
UNMAPPED	109855	141423	136970	173560	110135	114220	182743	160948	116747	135362	155514	175450	384270	126829	91136.7	150818	183552	152179	173364	155261	159747	387804	182455	161687	159129	208774	180344	179944	140432	136548	145373	130930	246349	165259	142126	103252	163941	163889	233770	173006	159134	143059	150618	206238	191608	198950	192451	183687	143440	155280	180356	177198	182958	140474	130591	111490	169111	156412	138638	166928	167648	133372	141690	138320	142349	143108	149192	160190	176539	168985	146059	171431	146990	139509	169592	138232	113557	160680	166499	144390	196184	144903	225470	234417	165408	193184	168836	129349	158542	152101	155235	160665	158924	186784	147733	173634	166698	115925	140443	161366	165662	181966	207065	226368	161735	171781	162063	163008	160186	116487	170921	151468	286877	162716
UNGROUPED	835954	822928	822974	790119	786541	828448	767390	792962	863637	764204	810158	772689	534258	779500	849527	799202	757693	756806	769988	780358	784580	563869	762717	783747	785935	754415	775308	788809	816581	768077	767399	856310	706926	781542	765413	886019	783762	818333	704263	757750	773646	805170	811146	760024	775349	764613	770467	764088	784958	786015	771846	782593	760404	775080	832497	824938	779529	778883	790804	760341	782708	808043	812962	768754	781637	806483	793519	786175	770799	785071	817776	785163	800223	815385	763247	781034	851216	781283	763045	816188	756439	810103	736920	716335	774705	752405	778562	809063	779584	778790	788270	798946	779542	770877	783616	768849	785800	837565	819253	781046	779670	754431	755831	738578	774982	765871	763832	784519	692219	836476	803340	793955	639225	792263
K00001	1.21828	1.64149	1.05213	1.22562	0.11685	0.599629	1.21834	7.38816	0	0	0.531605	0	0.230769	41.9068	0	0	6.16674	22.6775	0.311289	0.142949	2.913	3.32065	7.57431	10.326	8.38844	14.1545	5.93124	0	9.97803	35.3174	5.29218	0	0	11.99	1.53218	3.91181	7.33768	1.64651	0	9.69926	9.78359	8.98554	0.285546	0.280031	0	11.1712	6.47863	15.6064	82.9338	17.3326	1.74777	15.6383	0	0	1.11302	1.30435	0.801321	0	0	1.2841	2.09629	0.299982	0	3.8197	3.19773	0	0.969812	1.68755	0.100742	23.4219	1.13851	14.4852	0	1.99903	10.0361	0	15.6609	0.308074	3.71272	5.63472	7.64641	0	0.807086	0.483477	6.92857	0.987259	0.557008	4.19164	2.43326	0.651626	3.7723	5.22687	0	0.51961	11.0154	12.7624	3.81238	0.91231	0.582606	2.88316	4.26243	11.0544	3.06232	0	0.62829	0.460068	0.602369	1.20006	10.2829	0	0.814723	4.13385	2.82121	0
K00002	4.15559	2.82322	0.859957	2.16722	0.537937	0	0	9.78155	0	4.0899	2.81471	7.22818	0.322317	0	0.162147	0	6.58072	4.87765	10.483	14.3398	2.82663	2.72601	15.1301	5.58687	14.3115	33.165	21.4924	3.52849	3.95051	2.26241	7.90564	0.64586	2.28517	4.42888	0.7011	0.253587	14.9424	0.404252	0	2.05091	4.13981	5.87882	5.81233	32.7798	8.10327	3.83195	0.885994	42.5734	4.26976	11.044	0.829048	9.75828	2.11309	0	0.805653	3.5303	4.86845	1.54738	5.1203	10.7663	12.3713	6.21409	1.10366	0	1.29655	2.85321	4.37932	4.7408	0	3.6316	2.42957	7.52722	6.56631	5.82943	16.8817	0.554759	1.6034	14.3141	26.1788	5.30754	22.5193	2.33871	1.69274	2.33056	8.30006	5.89615	4.33399	9.10473	23.7069	2.90964	4.19203	5.43282	9.62016	14.2809	3.01053	23.8939	7.01308	6.40355	3.05648	11.4407	12.9509	4.29785	7.15261	5.46978	12.7545	20.5081	7.40395	127.513	0	1.29935	0	0	0	0
K00003	10.0044	3.57224	1.75696	2.38059	1.0895	8.13497	12.7428	10.239	26.7508	5.73523	3.59845	14.3604	0	11.3777	4.75792	0.198096	4.4759	2.4381	4.92396	14.775	6.56236	18.366	10.4182	9.02998	4.57881	32.2144	37.2393	9.43657	7.46658	6.26568	3.80544	1.03863	26.716	2.70465	3.18461	2.30539	14.4299	9.27047	32.7956	10.4809	4.88263	6.25518	5.59004	14.103	3.82244	10.5	16.3648	8.39444	12.5378	3.63075	9.35852	3.33835	17.6123	24.6131	6.62928	4.4815	13.247	7.08929	20.9415	8.73782	14.8178	5.57131	0.240096	3.69127	7.0784	2.75328	1.84094	1.75225	23.1786	3.95835	4.29395	2.33612	3.70299	13.6112	22.4814	0.909289	2.79096	5.04929	8.86012	5.82268	15.8455	4.0108	3.60553	2.3395	2.49494	31.3405	7.33722	8.55076	9.70034	21.2314	3.55608	4.73017	10.9584	4.7408	9.2981	12.756	19.0951	2.25128	1.10307	8.80352	11.8758	6.80044	4.88188	4.28812	15.8014	9.64638	19.3561	14.0572	8.77359	3.45633	22.8626	16.0987	9.89432	27.3534
K00004	0	0	0	0.191222	0.970617	0	8.07242	0	0	0	0	0	0	0	0.35047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0564	0	0	0.0986896	0.136005	0	0.633687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0968027	0	0	0	0.348726	0.278191	0	0	0	0	18.1611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.320257	0	0	0	0	0	0	0	0	0	0.266629	0.13838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00005	10.2399	15.4289	6.48419	1.34851	0.273219	9.74781	1.26919	7.16997	0.292493	4.51288	6.51201	2.92235	1.68009	9.9517	29.1898	0	12.6538	26.0727	26.473	4.21924	12.7145	21.725	28.4537	16.3176	11.0682	2.81322	7.95814	5.08616	24.2504	13.8307	4.45181	0.84792	12.1791	28.2817	9.56693	3.83841	40.4596	6.58429	7.18353	39.493	27.0185	22.6272	24.3482	14.4284	16.4077	8.38644	20.1391	4.29138	3.02464	2.09374	32.8839	27.9341	12.7091	3.6789	13.7601	9.60321	7.99207	5.66893	1.42781	56.9819	33.1227	16.4496	0	11.4443	47.2205	7.06589	29.0673	28.786	2.58354	25.961	7.14529	13.8749	5.90282	4.90175	12.0042	0	15.7818	1.98217	16.796	0.613534	10.5937	7.01118	3.52663	12.9572	19.4279	20.7023	9.6455	6.97599	12.0739	25.0251	6.86703	14.131	17.1069	20.3536	49.0892	8.97986	5.24234	2.49822	1.53951	8.74594	11.5356	26.9059	10.1812	9.65015	20.8575	4.46638	19.4983	1.09911	160.829	5.35835	5.80469	0.669188	0.371138	9.1575
K00006	0	0	0	0	1.13731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.41063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00008	12.9131	3.53583	3.51956	1.05793	0	1.93342	0.89247	0	0	0	6.21681	6.49137	0.545845	0	4.45623	0	1.77041	0.655987	2.32144	3.73397	1.24353	3.56101	3.80169	5.19644	3.06484	4.47645	19.5588	0.222451	2.14132	0.566474	2.18945	0	0	0	0	0.694509	0.586126	0	12.2127	4.6861	3.79229	0.803314	0.85227	1.52715	0.816394	0.252242	4.51391	0.380578	0.56501	0.533738	2.81982	0	2.61084	0	0.265935	0.155191	1.65972	1.80342	5.67973	2.40488	4.03373	2.66314	0	3.36808	5.70543	2.43817	2.33059	11.0227	2.37038	2.43704	2.05201	0.428241	3.43382	1.73525	3.18564	0	0	2.18623	2.24723	0.904239	9.24247	2.45806	0.919297	1.23284	0.190316	0.314543	0.863472	4.22435	5.60066	0.495627	0	2.39802	0.237832	2.00924	4.81854	2.14663	7.073	3.33807	1.86663	0	0.879577	2.25084	0	0.40915	8.82287	2.54848	3.96717	3.42934	0.442922	1.65845	13.1587	0	0	0.695808
