Pathway	P10T2	P10T3	P10T4	P11T1	P11T2	P11T3	P12T1	P12T4	P13T1	P13T4	P14T1	P14T4	P15T1	P15T2	P15T3	P16T1	P16T3	P16T4	P17T1	P17T2	P17T4	P18T1	P18T2	P18T3	P18T4	P19T1	P19T4	P1T1	P1T3	P1T4	P20T1	P20T2	P20T4	P21T1	P21T2	P21T4	P22T1	P22T4	P23T2	P23T3	P23T4	P24T1	P24T2	P24T3	P24T4	P25T1	P25T3	P25T4	P26T1	P26T3	P26T4	P27T1	P27T2	P27T3	P27T4	P28T2	P28T3	P28T4	P29T1	P29T2	P29T3	P29T4	P2T2	P2T3	P30T1	P30T2	P30T3	P30T4	P31T1	P31T2	P31T3	P31T4	P32T1	P32T3	P32T4	P33T1	P33T4	P34T1	P34T3	P35T1	P35T3	P36T1	P36T3	P36T4	P37T1	P37T3	P37T4	P38T1	P38T3	P39T1	P39T4	P3T1	P3T3	P3T4	P4T1	P4T3	P4T4	P5T1	P5T2	P5T3	P5T4	P6T1	P6T3	P6T4	P7T1	P7T3	P7T4	P8T1	P8T2	P8T3	P9T1	P9T2	P9T3	P9T4
1CMET2-PWY	296.357	453.991	470.671	327.237	20.3363	367.439	327.27	426.577	260.754	482.734	360.262	732.797	94.1166	323.125	303.343	358.847	437.978	386.12	465.606	428.194	404.047	247.177	441.998	407.03	421.157	515.511	502.455	344.821	325.393	311.423	433.055	281.097	334.875	460.346	406.41	203.819	476.139	268.324	331.758	433.728	381.876	404.653	347.245	443.269	354.286	498.791	386.525	499.316	337.764	451.507	408.458	398.627	371.698	445.044	351.535	382.422	397.588	454.064	390.242	387.439	419.123	349.655	0	453.119	398.5	335.758	440.136	452.547	332.431	338.33	325.403	372.79	367.963	391.467	480.501	419.609	360.772	454.366	447.091	412.044	585.187	355.149	408.406	408.744	406.681	441.622	399.726	367.715	423.442	364.899	442.475	386.09	466.536	436.603	487.818	367.062	408.174	275.666	323.174	409.428	460.902	388.071	447.438	443.089	380.989	447.707	518.467	375.926	254.883	365.701	389.837	469.485	252.839	447.315
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0	1.17525	0	0	0	0	0	4.75001	2.89458	13.8364	0	0	0	0	94.7793	0	0	0	0	0	0	4.11215	0	0	0	0	0	0	0	0	0	0	0	5.87978	0	0.671224	0.941672	0.401629	5.11888	5.84102	16.4873	0	26.1743	6.11479	0	1.09912	0	0	2.31942	0	0	3.95274	1.00848	0	0	0	0	4.51505	0	21.8268	0	2.50368	0	0	0	10.0739	0.848314	5.46661	0	1.57314	0	0	0.442224	5.04645	0	0	1.62696	7.28039	0	0	0	17.7878	0	42.3019	0	0	8.11117	4.41275	0	0	0	4.58972	0	7.96208	0	0	0	0	0	0	0	5.71166	0.84516	0	23.4492	0	0	0	0	42.9687	8.15931	0	0	0
AEROBACTINSYN-PWY	40.1834	4.63149	8.63267	0	0	0	0	0	0	0	0	0	0	9.25117	0	0	0	2.38733	0	0	0	0	0	0	0	0	3.88359	2.13425	0	0	0.795615	0	0	0	0	0	6.05046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.44165	6.56598	0	0	12.0188	0	4.4135	9.03429	18.6664	0	36.2125	12.1301	0	0	0	0	4.17943	3.80894	0	0	0	0	0	0.554827	0	0	0	0	0	0	0	0	0	0	0	2.44928	0	2.3273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY	0	10.3258	15.6697	2.08229	1.98069	13.1659	1.61536	4.0846	0	0	0	0	2.25504	5.36596	0.894743	0	6.21117	0.949176	3.75799	1.05	5.37139	0	12.6953	2.32555	0	0	12.7164	5.55818	2.0495	0	1.11804	5.90542	0.414817	11.4921	9.9274	0.358447	7.20289	4.51872	13.9165	10.926	43.1228	7.80185	12.9127	9.92696	2.56487	6.44713	9.88106	1.41216	6.70585	8.01429	3.56374	2.94166	1.38654	0	2.65222	1.10957	2.83033	1.65665	0.643238	19.0848	24.7593	2.0202	0	7.11551	19.1092	12.9951	25.6496	4.7741	1.2254	2.64567	1.07564	1.66556	5.02417	1.32636	0	1.64451	0	6.88819	6.35495	0.878896	0.87155	15.6495	10.2659	11.2844	2.48588	4.84394	11.4657	4.32773	5.56569	17.3299	16.9211	23.3762	34.0207	7.32793	11.5578	11.8694	7.3586	0	1.72596	15.9286	14.4111	8.32392	5.47667	0.410635	1.71276	0.532087	6.49602	2.53644	1.42214	2.58175	17.0837	9.17689	0	5.91333
ANAEROFRUCAT-PWY	224.35	172.744	142.971	94.991	22.0146	286.397	201.709	233.474	86.9281	435.692	60.4043	312.104	111.427	326.374	308.714	143.931	398.114	427.775	384.9	70.3226	243.584	178.477	292.651	287.818	291.548	191.343	138.853	110.594	324.229	370.795	422.272	134.009	296.211	376.8	396.385	148.632	348.372	141.588	299.426	447.09	349.568	345.854	246.46	158.025	251.406	242.072	254.343	433.466	357.048	436.667	155.506	349.671	255.818	253.906	297.369	300.647	220.376	178.853	381.66	372.217	283.319	210.917	0	382.77	342.014	209.983	348.013	271.101	251.694	289.185	210.598	266.242	245.777	222.932	312.831	359.499	270.734	202.904	304.024	267.447	255.412	251.532	196.877	264.421	377.453	251.559	236.618	248.196	334.448	283.964	332.282	269.031	238.99	252.749	363.965	329.242	328.614	146.511	148.099	296.238	243.272	362.719	253.944	244.123	294.45	114.114	473.385	143.796	633.507	361.118	153.266	346.365	164.286	182.95
ANAGLYCOLYSIS-PWY	293.387	432.214	435.159	591.201	81.1702	392.383	337.609	465.671	457.64	679.093	371.018	595.249	398.368	423.409	358.236	357.009	503.261	596.254	571.215	449.558	421.851	269.809	515.171	476.652	477.767	534.657	506.567	449.266	504.267	626.824	575.03	434.245	432.267	537.184	586.175	479.675	600.909	431.251	462.762	580.273	462.02	472.244	431.484	522.815	532.393	459.95	481.74	615.712	581.7	604.02	493.347	531.489	428.322	431.422	401.675	389.923	578.267	458.863	494.111	515.78	545.114	338.292	63.213	609.383	510.661	407.106	491.768	505.322	360.34	434.817	411.071	443.549	426.558	449.771	639.945	485.988	419.284	415.347	598.006	397.757	642.328	377.999	369.07	366.162	545.282	529.662	483.963	393.756	461.776	434.211	470.114	444.463	540.836	552.124	481.409	458.908	454.609	323.688	412.831	542.034	586.068	500.032	435.074	436.943	446.917	502.776	622.918	434.068	836.095	444.664	629.057	487.677	514.471	510.428
ARG+POLYAMINE-SYN	120.132	118.095	83.5133	0	4.12712	203.955	87.5692	98.9055	12.5815	130.77	5.12005	77.7845	7.91655	78.0086	280.771	0	75.2137	39.6088	37.0256	36.9573	105.558	117.754	121.681	46.2649	45.773	69.2054	93.7513	75.2178	24.6621	1.88953	36.9588	32.9545	77.5058	117.049	158.71	17.4059	128.41	44.1419	138.079	55.5261	204.464	128.889	146.884	90.2102	31.0165	65.0214	118.831	10.8792	37.0204	28.1365	106.805	49.4125	132.167	61.5493	128.647	247.037	71.5017	77.5741	29.5585	156.971	98.9537	131.122	0	165.334	98.103	109.017	130.025	79.8458	56.5111	106.756	62.4367	24.7633	74.1726	60.1069	51.8155	0	37.9607	106.171	53.7567	45.9208	29.0179	120.555	38.3778	149.781	41.3219	123.055	126.732	115.219	75.8634	175.724	77.7986	88.4865	108.456	141.497	78.9692	51.9115	114.235	19.5034	5.97706	91.1834	79.4955	91.1371	34.6711	63.9414	166.638	27.325	42.5865	44.8604	6.75053	332.543	121.058	35.9118	0	81.8627
ARGDEG-PWY	0	0	0	0	0	0	0	6.01612	0.931083	16.2883	0	0	0	0	0	0	0	0.561572	1.87671	0	0	1.16352	0	0	0	0	0	0.940619	0	0	0	0	0	7.21502	13.2618	0	2.15472	0	7.58955	12.3396	23.8554	0.349765	25.9153	7.74216	0	0.87179	0	0	0	0	0	0	30.1348	0	20.1181	29.1123	0	7.67902	0	24.7847	0	3.85479	0	28.8867	0	11.4404	10.4592	8.71171	0	0	0	0	0	0	0	0	0.873527	9.66323	0	0	0	12.1481	0	2.33866	0	0	8.28561	7.47706	3.38225	26.9085	0	1.01996	0	6.09536	0	0	0.661113	0	0	0	1.03384	16.7243	0	0	20.1393	0	0	0	0	128.78	5.01663	0	0	0
ARGININE-SYN4-PWY	162.593	243.224	243.254	75.2204	5.74603	148.939	170.413	148.294	17.1645	66.4722	200.21	139.546	15.1842	102.982	217.957	330.848	125.663	3.02191	32.4127	254.879	190.695	108.214	168.765	213.005	233.076	5.13934	169.29	137.896	46.0752	1.82804	34.6691	75.8811	1.04826	24.3503	53.2332	5.50867	24.5671	42.4157	97.9428	9.56043	102.179	49.7947	73.0119	24.458	74.9236	45.6036	53.3915	11.717	20.4787	56.3791	133.001	50.2782	69.4271	322.825	172.124	292.644	126.698	315.809	145.539	29.8399	110.13	277.793	3.19665	96.1389	76.8461	258.054	168.873	170.081	176.564	69.738	112.769	130.836	124.363	154.285	93.5262	291.609	12.8463	277.711	189.956	121.087	111.232	194.84	188.229	112.492	13.6336	124.089	214.386	208.986	148.285	202.271	248.516	68.8098	231.244	99.1372	134.953	70.5702	125.945	120.309	214.955	87.6752	86.0636	143.259	242.396	244.766	130.715	209.308	82.603	2.51131	141.531	39.1431	13.7339	80.3207	0	214.236
ARGSYN-PWY	182.343	307.799	309.097	855.503	12.2988	365.035	222.977	377.876	181.474	710.226	280.5	503.627	414.942	542.349	381.628	82.9799	502.212	696.729	580.161	381.503	364.776	238.721	524.035	420.491	484.92	562.209	488.347	326.562	591.047	753.678	626.222	137.362	343.608	625.315	515.488	159.714	550.069	296.059	411.307	631.305	470.4	480.03	418.866	587.111	637.847	566.195	618.678	614.644	600.826	609.509	483.143	627.728	380.931	247.093	356.5	319.543	636.801	369.923	438.571	550.843	604.633	310.226	15.953	570.98	553.989	401.563	466.528	433.304	220.937	391.99	331.682	431.398	379.925	329.142	627.899	313.82	337.3	360.416	519.478	455.9	694.411	364.022	292.095	355.356	684.091	526.519	556.025	287.727	442.063	448.374	425.416	390.334	458.477	480.225	486.147	457.074	442.056	140.921	319.155	574.395	568.212	445.394	443.603	436.452	390.988	434.811	542.37	582.715	397.851	396.205	563.589	514.49	554.531	368.188
