taxonomy	P10T2	P10T3	P10T4	P11T1	P11T2	P11T3	P12T1	P12T4	P13T1	P13T4	P14T1	P14T4	P15T1	P15T2	P15T3	P16T1	P16T3	P16T4	P17T1	P17T2	P17T4	P18T1	P18T2	P18T3	P18T4	P19T1	P19T4	P1T1	P1T3	P1T4	P20T1	P20T2	P20T4	P21T1	P21T2	P21T4	P22T1	P22T4	P23T2	P23T3	P23T4	P24T1	P24T2	P24T3	P24T4	P25T1	P25T3	P25T4	P26T1	P26T3	P26T4	P27T1	P27T2	P27T3	P27T4	P28T2	P28T3	P28T4	P29T1	P29T2	P29T3	P29T4	P2T2	P2T3	P30T1	P30T2	P30T3	P30T4	P31T1	P31T2	P31T3	P31T4	P32T1	P32T3	P32T4	P33T1	P33T4	P34T1	P34T3	P35T1	P35T3	P36T1	P36T3	P36T4	P37T1	P37T3	P37T4	P38T1	P38T3	P39T1	P39T4	P3T1	P3T3	P3T4	P4T1	P4T3	P4T4	P5T1	P5T2	P5T3	P5T4	P6T1	P6T3	P6T4	P7T1	P7T3	P7T4	P8T1	P8T2	P8T3	P9T1	P9T2	P9T3	P9T4
k__Bacteria	100	100	100	100	99.72383	100	99.98185	100	100	100	100	100	100	100	100	99.98631	100	100	100	100	99.84358	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.98304	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.9797	100	100	100	100	100	99.97186	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.81423	99.99733	99.94244	99.99505	100	99.91219	100	99.99212	100	100	100	100	100
k__Bacteria|p__Bacteroidetes	58.15065	46.25433	42.91821	6.11302	0.46111	24.89645	49.45484	27.53286	71.07785	0	43.6351	10.40809	2.02931	5.02143	0	83.18082	14.57212	0.18848	5.80725	37.07296	33.34132	21.75775	9.0891	26.64794	18.55625	3.52398	25.16418	50.07241	18.51407	0.30546	2.6924	75.92039	16.51969	0.30835	4.36597	77.97799	0.65569	52.93278	11.67868	0.71503	12.39263	15.63041	22.69448	5.53506	13.26824	46.6775	0.93866	1.39177	0.712	6.0713	18.94901	6.71986	31.02246	65.11193	41.09826	40.24616	10.31811	45.10831	16.25609	1.38669	12.6365	35.2947	0	0	7.98176	34.44709	20.91976	24.73778	44.16401	24.74344	50.44295	29.32895	38.0165	52.00214	17.36527	52.83549	41.41341	39.63396	22.73345	17.39935	8.24041	32.98582	57.05903	42.92455	1.36512	12.43558	18.37768	41.09933	21.37425	20.38214	30.37791	28.46472	31.07226	13.14059	16.21293	16.26029	26.49452	24.25025	53.71186	10.9814	13.17219	21.80983	37.0217	36.67965	18.5177	27.61601	8.33017	0	11.42079	0	0.65443	8.54795	0.08232	34.5245
k__Bacteria|p__Firmicutes	27.86481	48.92744	54.05113	93.05439	97.83823	44.10197	46.58898	58.52095	23.79718	23.12574	53.93387	17.92453	93.98943	17.5425	60.09353	16.80548	47.99172	22.89741	58.86873	62.17931	43.81357	49.64243	51.82939	46.2523	53.01786	82.56707	70.35293	45.14198	48.67895	16.42548	32.21886	11.66738	61.4587	65.9928	37.39681	9.15428	76.06219	40.18198	80.60424	33.32062	47.16919	49.51532	62.77648	82.40957	68.90809	44.86914	79.9505	61.05016	20.18078	54.56275	75.01719	56.81003	53.00956	32.22149	49.67943	35.74948	78.04153	47.52992	53.06224	63.27145	65.9783	49.97665	99.56296	27.00935	55.50158	56.48421	37.28169	50.78101	55.00059	39.58091	40.36516	48.89559	48.89078	40.38143	53.91732	40.26858	27.10203	49.97556	63.62981	56.83762	29.70353	60.17017	36.92144	36.26517	58.46426	72.26846	65.37947	38.30603	46.63477	51.00863	38.29424	46.23623	56.33141	80.9896	45.06474	68.62136	48.87941	64.87873	45.05313	76.98784	74.56757	50.33737	48.20921	49.06748	62.33861	71.36556	43.21733	98.7858	87.42582	71.7421	97.08647	58.77481	78.94258	62.89791
k__Bacteria|p__Proteobacteria	12.55916	2.74913	1.76986	0	0.07859	16.90315	2.75695	3.33114	2.55912	2.68905	0.92175	2.7001	0.34762	3.14205	39.87541	0	2.00084	1.43241	0.81915	0.45068	2.91899	10.40887	4.49154	2.02049	2.54918	0.00345	0.84342	4.09751	0.33113	0.13538	1.05327	8.778	1.64232	1.18211	1.84498	2.42574	1.08284	3.3037	4.26224	1.0541	4.64176	1.86454	8.2018	2.02421	1.84964	0.67925	4.32942	0.64371	0.53781	0.75697	1.02108	0.91911	6.72948	1.87734	4.33938	19.86132	1.97761	4.07404	0.4515	5.39741	1.85796	9.02422	0	3.6548	1.73969	2.72469	4.20643	2.06382	0.45556	4.28487	6.94985	4.12197	2.38396	1.82468	1.55813	1.50963	1.93592	1.75158	0.50226	0	0.37404	4.55497	2.54674	9.18308	2.70833	6.03698	7.0562	3.62815	1.55927	20.27631	3.02323	1.77294	1.86572	3.517	0.70867	1.32578	2.19066	2.32602	0.56433	0.24848	1.21461	2.62809	1.75494	0.71461	4.61444	0.46208	2.20645	0.55274	0.01493	28.01452	1.24291	2.7597	0	0.59221
k__Bacteria|p__Actinobacteria	1.41687	2.0691	1.26081	0.83259	1.29415	12.55983	1.18108	10.59539	2.56585	74.1852	1.50928	0	3.39249	74.17989	0.00743	0	35.43532	75.16356	34.50487	0.29705	19.7555	18.14408	34.58998	25.07927	25.87671	13.90551	3.63948	0.68809	32.47585	83.13368	64.03546	1.86076	20.37706	32.51674	56.39224	10.43365	22.19929	3.58154	3.24391	55.22052	35.79643	32.98972	6.24997	7.607	15.68875	7.77412	14.77946	36.91294	78.5694	38.60898	4.21213	33.33493	9.15992	0.73747	4.83728	3.90161	9.16596	3.0487	30.23017	29.93879	12.35007	4.99613	0.41674	69.33586	34.77697	6.344	34.78973	19.8627	0.3517	31.39078	1.80813	15.19344	10.55694	5.79175	27.10357	4.78757	29.54864	8.6389	13.13448	25.6733	9.46983	2.28904	3.4728	11.6272	37.46228	9.25898	7.26619	16.81862	30.43171	8.2408	28.0912	23.52611	10.73062	2.35281	38.01366	13.79257	22.43541	8.54499	0.67068	11.78228	11.04564	24.99377	12.63305	13.42636	14.5243	0.55635	46.15823	0.66146	1.13058	0.24338	1.01619	29.9115	20.9751	1.98538
k__Bacteria|p__Fusobacteria	0.00851	0	0	0	0	0.61754	0	0.01966	0	0	0	0	0	0	0.02363	0	0	0	0	0	0	0.00868	0	0	0	0	0	0	0	0	0	1.77042	0.00222	0	0	0.00834	0	0	0.00512	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07858	0.05178	0.04565	0	0	0	0	0.00566	0	0	0	0	0	0	0	0	0	0	0	0	0.0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09213	0	0	0	0	0	0	0	0	0	0	0	0	0.09043	0	0	0	0	0	0	0	0	0.00603	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	58.15065	46.25433	42.91821	6.11302	0.46111	24.89645	49.45484	27.53286	71.07785	0	43.6351	10.40809	2.02931	5.02143	0	83.18082	14.57212	0.18848	5.80725	37.07296	33.34132	21.75775	9.0891	26.64794	18.55625	3.52398	25.16418	50.07241	18.51407	0.30546	2.6924	75.92039	16.51969	0.30835	4.36597	77.97799	0.65569	52.93278	11.67868	0.71503	12.39263	15.63041	22.69448	5.53506	13.26824	46.6775	0.93866	1.39177	0.712	6.0713	18.94901	6.71986	30.444	65.11193	41.09826	40.24616	10.31811	45.10831	16.25609	1.38669	12.6365	35.2947	0	0	7.98176	34.44709	20.91976	24.73337	44.16401	24.7409	50.44295	29.32895	38.0165	52.00214	17.36527	52.83549	41.41341	39.63396	22.73345	17.39935	8.24041	32.98582	57.05903	42.92455	1.36512	12.43558	18.37768	41.09933	21.37425	20.38214	30.37791	28.46472	31.07226	13.14059	16.21293	16.26029	26.49452	24.25025	53.71186	10.9814	13.17219	21.80983	37.0217	36.67965	18.5177	27.61601	8.33017	0	11.42079	0	0.65443	8.54795	0.08232	34.5245
k__Bacteria|p__Firmicutes|c__Clostridia	18.36245	44.59465	53.38635	89.97339	0.87673	41.15977	19.17329	53.58671	23.76806	21.42562	45.37273	9.44705	2.94404	16.26913	56.9458	0.58832	39.32106	18.8534	55.59972	57.56638	36.86167	35.59983	48.64499	41.92359	48.58697	81.49228	68.25708	42.46896	42.66375	14.84428	25.84214	6.30471	32.92221	58.18151	17.76253	5.96232	70.8727	29.18722	49.66316	31.17737	30.86093	41.71409	57.34667	79.63484	65.49257	42.06978	75.19563	55.02388	18.61852	47.84061	72.45444	41.98971	47.0501	23.19414	44.03079	22.00924	75.09523	45.48542	28.40515	47.06356	58.34224	42.05127	0	21.10153	24.36679	52.70636	31.34612	42.60272	5.49324	24.98377	29.78204	40.45009	34.26298	32.82831	41.44616	11.92767	6.00971	43.05766	39.92195	42.44093	28.93281	58.91723	33.0823	33.7353	53.40128	64.7015	62.32862	32.57444	40.04509	42.21607	27.60266	40.58399	51.43639	69.8808	38.77394	51.8098	42.39903	9.65149	41.07716	65.63428	71.18062	36.29798	31.08167	32.13933	54.26658	66.87233	39.94272	88.07266	7.91692	50.7395	88.20438	48.45149	7.78821	57.88681
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	12.55916	1.98205	1.76986	0	0.05259	13.63626	0	1.18565	0.74225	2.68905	0	0	0.24188	1.26375	39.86464	0	0.14997	0.13329	0.15828	0.12159	1.15131	4.65816	1.06214	0.00178	0.06832	0	0.59543	0.35056	0.05189	0	0.09999	0.39963	1.09742	1.11526	1.84498	0.17381	1.02349	0.43531	4.10482	1.04652	4.0356	1.58453	5.69894	0.78503	0.04726	0.13661	1.1154	0.0129	0.34517	0.08272	0.02508	0.32928	5.93707	0.68665	3.46534	16.42262	0.08253	1.09848	0	5.21464	1.42724	4.30512	0	3.65111	1.68286	2.33836	3.14187	1.08536	0	1.11193	0.7354	0	0.74874	0.47663	0.00604	0	0.56489	1.75158	0.0156	0	0.02769	3.42459	0.02953	6.99156	0.55395	0.35121	1.33169	2.01429	0.76615	4.30591	0.23802	0.9585	0.04641	3.46713	0.05307	0	0.27722	0	0	0.0812	0.15379	1.04881	0.14356	0.08875	4.37465	0.16314	0.04176	0.55274	0	28.01452	1.24291	0	0	0.11946
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	6.60526	0.13997	0.05213	0.10053	0	1.22635	2.17815	0.17779	0.00341	0.05635	0.57722	0.04547	0	0.00727	0.02721	0	0.56697	0.16088	0.10038	0.19489	0.16926	0.33216	0.14885	0.12283	0.12216	0.87253	1.36189	0.75556	0.02271	0	0.1618	0.01191	1.18595	0.46986	0.02786	0	0.42281	0.08232	0.91339	0.33078	0.09946	0.08056	0.1837	0.164	0.04125	0.59396	0.3639	0.22119	0.39189	0.17392	0.34788	0.74508	0.39718	0.09261	0.60373	0.03258	0.34997	0.28444	2.73247	0.24479	0.09433	0.43372	0	0.19811	0.26833	0.06988	0.05518	0.14751	3.94884	0.04726	0.28906	0.02839	0.05819	0.01529	0.10717	0.09552	0.00902	0.72891	0.11154	10.27583	0.54199	0.20412	0.22588	0.08833	0.17389	0.17794	0.01175	4.1318	1.75353	0.07905	0.08092	1.56978	0.82016	0.69924	1.07783	0.61276	0.14711	0.29023	0.48272	0.27965	0.93065	0.34389	1.34795	0.59687	0.3866	0.1535	0.4106	2.21116	0.09087	1.57348	0.47946	0.12091	0.00052	0.04957
