taxonomy	P10T2	P10T3	P10T4	P11T1	P11T2	P11T3	P12T1	P12T4	P13T1	P13T4	P14T1	P14T4	P15T1	P15T2	P15T3	P16T1	P16T3	P16T4	P17T1	P17T2	P17T4	P18T1	P18T2	P18T3	P18T4	P19T1	P19T4	P1T1	P1T3	P1T4	P20T1	P20T2	P20T4	P21T1	P21T2	P21T4	P22T1	P22T4	P23T2	P23T3	P23T4	P24T1	P24T2	P24T3	P24T4	P25T1	P25T3	P25T4	P26T1	P26T3	P26T4	P27T1	P27T2	P27T3	P27T4	P28T2	P28T3	P28T4	P29T1	P29T2	P29T3	P29T4	P2T2	P2T3	P30T1	P30T2	P30T3	P30T4	P31T1	P31T2	P31T3	P31T4	P32T1	P32T3	P32T4	P33T1	P33T4	P34T1	P34T3	P35T1	P35T3	P36T1	P36T3	P36T4	P37T1	P37T3	P37T4	P38T1	P38T3	P39T1	P39T4	P3T1	P3T3	P3T4	P4T1	P4T3	P4T4	P5T1	P5T2	P5T3	P5T4	P6T1	P6T3	P6T4	P7T1	P7T3	P7T4	P8T1	P8T2	P8T3	P9T1	P9T2	P9T3	P9T4
Bacteroides_stercoris	16.03238	23.46904	16.95902	0	0	0	1.01085	6.51873	0.10489	0	14.32052	4.10943	0	0	0	3.53876	5.88431	0.01016	0.37465	0	4.20483	0	0	0	0	0	10.18206	0	0.15726	0.00318	1.21405	2.74565	0.002	0	0	0.01368	0	0.88992	0	0	0	0.06781	3.32043	0.40604	1.75966	0	0	0	0	0	0	0.77308	0	0	0	0	0	0	12.7153	0	0.07814	0	0	0	0	0	0	0	3.90757	0	0	0	0	0	0.003	8.97385	0	10.10938	7.69346	6.83025	3.17695	0	4.93754	1.03442	0	0	0	0	0	0	15.01747	2.72441	8.82065	5.02405	0	0	0	2.8211	8.19371	3.03361	3.78581	6.2634	20.10883	15.23172	0	0	2.48831	0	10.9906	0	0	3.7699	0.04288	11.92716
Escherichia_coli	12.55916	1.90896	1.76986	0	0.05259	13.51829	0	0.93807	0.63626	2.64794	0	0	0.24188	1.26206	39.86464	0	0.14997	0.13329	0.14681	0.00545	0.96057	2.00847	1.06214	0	0.06199	0	0.59543	0.24284	0.05189	0	0.09399	0.25516	0.04433	1.11526	1.83646	0.17201	1.02349	0.13191	2.062	0.62955	4.0356	1.52337	5.61342	0.77357	0.03682	0.13552	1.1154	0.00781	0.31126	0.08272	0.02508	0.26873	2.04748	0.4149	1.20234	16.42262	0.03154	1.04123	0	2.0087	1.42724	4.30512	0	3.64001	1.65108	2.33362	3.12605	1.08536	0	1.02104	0.69003	0	0.19347	0	0.00604	0	0.36933	0.8184	0.0156	0	0.02769	3.36148	0.02953	0.19754	0.2082	0.27359	1.3295	2.00285	0.339	4.25645	0.23802	0.90089	0.00336	0.85472	0	0	0.08426	0	0	0	0.03559	1.03605	0.12599	0.06304	4.33847	0	0.02445	0	0	0	1.12194	0	0	0
Parabacteroides_distasonis	9.91037	1.98078	0.15836	1.25285	0.00706	0	3.48194	1.77984	0.034	0	0	0	0.03585	0	0	6.31685	0.43717	0.00548	0.07548	0	0.80953	0	0	0	0	0.25581	0.3223	0.54248	0.23401	0.01625	0.19351	0.95369	0	0	0	0.00276	0.00173	0.05334	0	0	0	0.1221	0.31918	0.12466	0.30163	2.15684	0.11714	0.58687	0.33779	0.08497	0.45636	0.14461	1.50123	0	0	0.52414	0.57819	0.79864	0	0	0	0	0	0	0.12703	1.29141	0.38105	0.54061	0.5482	1.44764	0.99778	1.12691	3.72072	1.7636	0.44311	15.19544	0	2.40005	0.82074	0.00103	0.42184	2.33278	5.59934	4.35797	0.08346	1.07638	1.85329	1.7949	1.52222	1.88476	1.47867	0.23302	2.21443	0	0	0	0	4.03872	11.0383	0.52947	0.91801	0.12635	0.63899	0.57092	0	0	0.61614	0	0	0	0.00403	0	0	0
Bacteroides_fragilis	8.49322	0.85144	0	0	0	14.01324	0.49043	0	0.01884	0	0	0	0.0008	0.6225	0	1.41111	0.6213	0.00286	0.02305	0	2.75373	0.03665	0.57023	0.19344	0.03973	0.00243	0.40864	0.86903	0	0	0.1472	0.15734	0	0.11821	0	0.00168	0.31257	0.60632	0	0	0	0.04357	2.14976	0.01008	0.28148	0.92783	0.00561	0.06451	0.04313	0.86551	0.91757	0	8.00885	12.97204	10.56866	0	0	0	3.54078	1.31443	10.7811	3.09175	0	0	6.25375	3.23729	0.05486	0.77983	0.05226	0.00162	0.01125	0	0.01456	0	0	0.64868	0.00356	1.13978	0.15915	0.01709	0.23181	2.59425	1.89543	0.24037	0.13496	0	0	3.44948	0.01554	0.02025	0.1116	0	0	0	11.88583	3.9365	0	0.15088	0.12231	0.09465	0	0	0	0	0	0	0.23189	0	0	0	0.26911	1.04011	0.00794	5.59177
Bacteroides_ovatus	7.47497	0	0	0	0.01409	0	0.43536	2.31612	0	0	0	1.179	0.00873	0	0	0	0	0	0.02562	0	1.89965	0	0	0	0	0	0.10231	0.52443	0	0	0.01095	0.6013	0	0.18147	0	0	0.01138	0.67234	1.05975	0	1.42961	0.00437	0.48252	0	0.06955	0.40732	0.06033	0.02354	0	0.14673	1.31312	0.06581	0	0	0	2.26859	1.79821	8.11585	0	0	0	0	0	0	0	0	0	0.79378	0.20969	0.57562	1.44879	1.17464	0.18716	0.66794	0.83174	0.82835	0.00421	0.12858	2.27153	0	0.19802	0	6.68802	1.66393	0	0	0	8.10053	2.35005	3.79395	1.05432	0	2.6599	1.24843	0	3.28427	2.01297	0	0	0	0	0.08971	0.01645	0	0	0	0	0	0	0	0.00441	0	0	0
Phocaeicola_vulgatus	7.33701	9.22715	21.40048	0	0.18199	0	23.12522	13.50559	0.72629	0	7.37532	0.85889	0.53399	4.1961	0	24.38537	2.09862	0.04484	1.65871	0	6.50964	15.98873	6.6925	16.84405	12.69757	0.07359	0	11.61387	1.66219	0.04956	0.19859	5.91839	0.04567	0	0	0.4442	0.061	1.92846	7.05278	0.08606	3.09414	0.42428	1.04612	0.102	0.15734	0	0	0	0	0	0	1.29549	1.7254	44.44587	0	27.94649	4.09054	26.81857	0	0	0	26.08296	0	0	0.64257	20.85055	6.44435	11.83414	18.28446	2.79187	9.05986	6.58672	6.70146	0	0.01913	12.48016	0.35301	22.74189	4.53373	4.08945	1.7918	16.14961	1.86742	0.81461	0.97802	9.83539	10.23649	22.72556	9.59135	13.91073	7.21031	4.87349	10.08855	0	0	0	0	10.8467	20.53727	5.07167	6.01917	1.49274	1.41782	1.4039	0	0	3.41436	0	0	0	0.01564	3.09637	0.02489	8.15316
Clostridium_innocuum	6.59578	0.13654	0.02188	0.10053	0	0.32174	2.17815	0.07111	0	0	0.3702	0.01642	0	0.00021	0	0	0.00168	0	0.03236	0.0118	0.06677	0	0.04023	0.02124	0.00194	0.7516	0.34446	0	0	0	0.01861	0	0	0	0.00161	0	0.1218	0	0.18889	0.06514	0.06783	0	0.01384	0	0	0.35978	0.09636	0.01412	0.25479	0.04136	0.14367	0.0643	0	0.03305	0.55667	0	0.01484	0.01679	0.84807	0.01432	0.00758	0.00916	0	0.0187	0.07446	0.01636	0.02506	0.04454	3.94884	0	0	0	0.00618	0.01499	0.05696	0	0	0.36733	0.02284	9.45406	0.20209	0.01949	0.00924	0.02055	0.00332	0	0	0.1376	0.13543	0	0	0.03932	0.00693	0.01699	0.24536	0.18734	0.03453	0.29023	0.48272	0.00701	0	0.012	0.0267	0.01942	0.07428	0.00485	0.02522	0.95171	0.01347	0.09823	0.00107	0.01224	0	0.00705
Ruthenibacterium_lactatiformans	6.36628	0.3833	0.11506	0	0.00015	0	0.01532	0	0	0	1.34882	0.01434	0.00853	0	0	0.11131	0	0	0.04634	0.0012	0.23167	0.02122	0.74856	0.21792	0.05656	2.04444	0.42499	0	0.03251	0	0	0.06539	0	0	0	0	0	0	0.02302	0.0115	0.06384	0	0.01152	0.03603	0.02495	0.09161	0.05244	0.25275	0.01948	0.80676	0.78833	0.2347	0	0	0	0	0.22998	0.05574	3.37822	0.00206	0.11186	0.03104	0	0	0	0.37764	0.15248	2.89752	0.01731	0	0	0.0561	0.03435	0.17935	0.16152	0	0	0	0.01433	0.8316	0.25979	0.80687	1.19453	1.49369	0	0	0.0157	0.65528	1.02406	0	0.04632	0.13807	0	0	0.01028	0.01019	0.72828	0	0.03421	0	0	0.98514	0.3025	0.25678	0.08173	0	0.08029	0	0	0	0	0	0	0
Bacteroides_uniformis	4.24688	4.41413	0	0	0.24682	10.88321	6.60782	2.19493	0.0017	0	0	2.56235	1.26337	0	0	13.50811	3.71709	0.09821	0.43592	0	1.80956	4.56772	1.49387	8.45892	5.02762	0.47934	1.03468	0.18126	0.44056	0.00641	0.21904	0.60851	0	0	0	0	0.02874	0.24029	2.30232	0.61637	4.04295	0.86124	2.48919	0.06404	1.58971	0	0	0.11308	0	2.40764	5.05881	0.52956	0	7.41883	30.52771	0	0.01228	0	0	0	0	0	0	0	0.22956	9.06588	14.03951	9.63364	13.74217	0.39762	2.306	4.06483	2.22238	5.67932	3.29434	9.79138	0.00517	2.04143	4.57135	5.81065	0.75017	11.90101	9.9244	6.54252	0	0	0	4.70172	5.40174	0	0.50576	0.7219	5.97146	0.32391	2.33946	3.02142	15.82063	1.33349	0	0	0	6.12078	2.28697	1.96834	0	0	0	0	0.43019	0	0	0	0.00661	6.20665
Parabacteroides_merdae	3.28974	3.97994	1.8197	0.31001	0.00814	0	0.87559	0	0.02653	0	15.77011	0.64021	0.00509	0	0	0	0	0	0.23346	0	0.63733	0	0	0	0	0.22158	0.4199	0.46355	0.14773	0.00893	0.28267	0.51699	0	0	0.4567	0	0.00622	0.01558	0	0	0	0.18206	1.33509	0.21835	1.25865	0	0	0	0	0	0	0.54562	0	0	0	2.55275	1.54977	4.81979	0	0	0	0	0	0	0	0	0	0	0.19387	0.12249	0.28748	0.45559	2.58794	2.08295	0.53612	1.45111	0.02476	0.72405	0.5835	0.00706	0.98324	0	4.21369	2.0947	0	0	0	0	0	0.69275	2.7612	0.53548	0	0	0.84049	6.01811	8.31056	3.4495	11.03784	1.09851	1.16878	0.50492	0.98968	2.28387	0	0	0	0	0	0	0.00216	0	0	0
