Family,TotMarkerLength,AbxClass,RestistMechanism,BetaLactamase,P10T2,P10T3,P10T4,P11T1,P11T2,P11T3,P12T1,P12T4,P13T1,P13T4,P14T1,P14T4,P15T1,P15T2,P15T3,P16T1,P16T3,P16T4,P17T1,P17T2,P17T4,P18T1,P18T2,P18T3,P18T4,P19T1,P19T4,P1T1,P1T3,P1T4,P20T1,P20T2,P20T4,P21T1,P21T2,P21T4,P22T1,P22T4,P23T2,P23T3,P23T4,P24T1,P24T2,P24T3,P24T4,P25T1,P25T3,P25T4,P26T1,P26T3,P26T4,P27T1,P27T2,P27T3,P27T4,P28T2,P28T3,P28T4,P29T1,P29T2,P29T3,P29T4,P2T2,P2T3,P30T1,P30T2,P30T3,P30T4,P31T1,P31T2,P31T3,P31T4,P32T1,P32T3,P32T4,P33T1,P33T4,P34T1,P34T3,P35T1,P35T3,P36T1,P36T3,P36T4,P37T1,P37T3,P37T4,P38T1,P38T3,P39T1,P39T4,P3T1,P3T3,P3T4,P4T1,P4T3,P4T4,P5T1,P5T2,P5T3,P5T4,P6T1,P6T3,P6T4,P7T1,P7T3,P7T4,P8T1,P8T2,P8T3,P9T1,P9T2,P9T3,P9T4
gb|AAA16194_1|ARO_3002540|AAC(3)-VIa,299,Aminoglycoside,Inactivation,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039754789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139219677,0,0,0,0,0,0,0,0,0,0,0,0
gb|NP_250709_1|ARO_3002982|amrA,125,Aminoglycoside,Efflux,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479609218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|CAA62365_1|ARO_3002645|APH(3_)-IIb,160,Aminoglycoside,Inactivation,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525172094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|BAF80809_1|ARO_3002665|npmA,219,Aminoglycoside,TargetAlteration,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504725845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068551635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|AAB49832_1|ARO_3002636|APH(2__)-IIIa,292,Aminoglycoside,Inactivation,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067359347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497663628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248788482,0.224671135,0,0,0,0,0,0,0.087221353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|ABB43029_1|ARO_3002539|AAC(3)-IV,194,Aminoglycoside,Inactivation,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.128725916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|CAA24743_1|ARO_3002655|APH(4)-Ia,284,Aminoglycoside,Inactivation,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.198040082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|AAX38178_1|ARO_3002634|APH(2__)-Ie,248,Aminoglycoside,Inactivation,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.297290963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|AGV10818_1|ARO_3002669|APH(2__)-Ig,278,Aminoglycoside,Inactivation,No,0,0,0,0,0,0,0,0,0,3.234778414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300458201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|AAD46626_1|ARO_3002596|AAC(6_)-IIc,41,Aminoglycoside,Inactivation,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.753599552,3.142383523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|CAE51638_1|ARO_3002641|APH(3_)-Ia,155,Aminoglycoside,Inactivation,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.834927297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.488637495,0,0,0,0,0,0,0,0,0,0,0,0,3.053388558,1.16131565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|WP_000572405_1|ARO_3002644|APH(3_)-IIa,144,Aminoglycoside,Inactivation,No,0.219876815,0,0,0,0,0,0,0,0,0,0,0.205871292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699642917,0,0,0,0,0,0,0,0,4.279554245,0,0,0,0,0,0,0,0,0,0.399952748,0,0,1.46496156,0,0,0,0,0,0,1.219635854,0.221383576,0,0,0.988734341,0,1.121655006,0.997192635,0,0,0,0,0,0,2.295864674
gb|AAC64365_1|ARO_3000230|ANT(2__)-Ia,156,Aminoglycoside,Inactivation,No,0,0,0,0,0,0,0,0,7.997180602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025802282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.30287955,0,0,0.06046169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|YP_006938491_1|ARO_3003905|ANT(4_)-Ib,232,Aminoglycoside,Inactivation,No,0,0,0,0.253200456,0,0,0,0,0.141289326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.046270998,0.03116811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.098635014,0,2.938114439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070903646,0,0,0,0,0,0,0,0,0,0,0,0,0,4.932567709,15.21073512,0,0,0,0,0,0,0,0,0,0,4.811186535,0,0,0,0,0,0,0.255791247,0,0,3.39082412,18.99137662,0,0,0,0,0,0.073378669,0,0,0,0,0,0,0,0,3.718925994,5.772005816,0,0
gb|AET15272_1|ARO_3003197|aadA25,18,Aminoglycoside,Inactivation,No,0,0.30822479,0.59035395,0,0,0,0,0,0,0,0,0,0,4.881754423,0,0,0,0,0,0,0,0,0,0,0,0,0,1.143311049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56428156,5.629296553,0,0,0,0,0.190012371,0,0,0,0,0,0,0,0,0,0,0,0,2.437233042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.705565879,0.2777323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.5620027,0,0,0,0
gb|CBL58181_1|ARO_3003918|apmA,222,Aminoglycoside,Inactivation,No,0,0,0,0,0,0,0,0,56.81325167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.0000211,44.31708728,0,0,0,0,1.942989219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.640723462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64466315,0,0,0,0,0,0,45.00755976,23.06956527,0,0,0,0,0,0,0,0,0,0,0.042706719,0,0,0,0,0,0.796661181,0,0.131157731,0.970793107,0,0,0
gb|AAF17880_1|ARO_3002605|aadA5,102,Aminoglycoside,Inactivation,No,248.2281269,18.55689362,48.8070907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.333788553,34.08180776,0,4.879498135,1.078836231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.581609406,0,1.250495764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
